,spyder,spyder,spyder,spyder,spyder,spyder,smote_ipf,smote_ipf,smote_ipf,smote_ipf,smote_ipf,smote_ipf,smote_enc,smote_enc,smote_enc,smote_enc,smote_enc,smote_enc,ipf,ipf,ipf,ipf,ipf,ipf,ihf,ihf,ihf,ihf,ihf,ihf,clni,clni,clni,clni,clni,clni,ihthres,ihthres,ihthres,ihthres,ihthres,ihthres,enn,enn,enn,enn,enn,enn,ncl,ncl,ncl,ncl,ncl,ncl,none,none,none,none,none,none
clf,dt,lr,nb,svm,knn,rf,dt,lr,nb,svm,knn,rf,dt,lr,nb,svm,knn,rf,dt,lr,nb,svm,knn,rf,dt,lr,nb,svm,knn,rf,dt,lr,nb,svm,knn,rf,dt,lr,nb,svm,knn,rf,dt,lr,nb,svm,knn,rf,dt,lr,nb,svm,knn,rf,dt,lr,nb,svm,knn,rf
activemq-5.8.0.csv,0.26354552944788656,0.30414063072582986,0.3849280716015148,0.32855072787258377,0.20800957072700502,0.3190394537504102,0.3861208462734632,0.2925660065706476,0.4189956855279381,0.20529862114512126,0.34629165448501786,0.2614022800722353,0.30743089017983194,0.3003262362363523,0.43049447164325705,0.1750803304292317,0.3589124713515676,0.2749244063825215,0.39548370011376266,0.3348795789882217,0.3355259871109314,0.20529862114512126,0.4365034616965381,0.376373589932263,0.3896392927645408,0.31481495403189713,0.4005639100692182,0.21923906214955294,0.382058405598833,0.330309469285542,0.3819110599111365,0.2862812056391922,0.4043840385011581,0.22497709258961948,0.30948291823986096,0.3101701624201833,0.494469825618584,0.31101145144808995,0.4960402884836032,0.1915934599277188,0.39514989415429935,0.2902305599102428,0.2612792609615981,0.32838797358443633,0.3918307795797862,0.2816848351257425,0.26722762386334176,0.33173542500214204,0.2939835145265263,0.3232619860210709,0.4094435744643462,0.31216903892929193,0.26627181327387195,0.334370762469268,0.2629152652288861,0.3163363909246639,0.3912088400819039,0.2748275229975156,0.2599887752032282,0.32994776245181745
groovy-1_6_BETA_1.csv,0.4384004522602509,0.3537162216560757,0.3991544078545512,0.4035836696626117,0.3417092685152273,0.4613615461402221,0.547559645624187,0.4182888829078181,0.435015596856789,0.3946675523248527,0.5440952618537814,0.5018151864895476,0.4731550153248648,0.33013835952140197,0.398844729043008,0.3053170002094396,0.5016192099685385,0.4468282262956961,0.4550960770746112,0.4385195711920488,0.4124199097078315,0.3733002047022045,0.4505959807994308,0.4048490763571764,0.4969874765861891,0.3962606907732777,0.4116608176452799,0.38797941015102055,0.4861014343197788,0.4718524258273012,0.4648391186649122,0.3848901951891512,0.4167779998649139,0.4044027022352833,0.4925494383970437,0.4649673853976568,0.5132594673210846,0.3685713668624775,0.5088533686767337,0.3005831062895785,0.49917653122964395,0.4506169492658737,0.4385674482907551,0.40060757853241546,0.3953363225726649,0.4214503593580996,0.4260465558945023,0.4871519587818726,0.4830321963580909,0.4216736899334607,0.4180803331869161,0.4226904741093053,0.4736683506893769,0.4700682261199394,0.42287942220582464,0.3721826963388574,0.4032909907509192,0.3929919257714669,0.3971066177822676,0.4239637605782031
activemq-5.3.0.csv,0.3729305002095188,0.4563906440645096,0.4529266215373444,0.4858649664461367,0.3438027869547671,0.4720161154324092,0.4684547877882673,0.4729162278133152,0.4682037507548548,0.4246546535181114,0.4636683861467762,0.4350477666525506,0.4559097228897922,0.4711272689270514,0.4744592050759037,0.4279387380689469,0.4708479845163859,0.4486912065045697,0.4725129453297556,0.4363713603654832,0.4211329946918162,0.3999419117098332,0.4947439499555113,0.43493880942879737,0.4705245021754357,0.4572913107329802,0.4506561119916606,0.4223131191868515,0.4724088644374851,0.4568530045545298,0.4640929108835063,0.4473824838204961,0.4567012952490229,0.4199117776643896,0.4721792584488461,0.4579648427861304,0.4965461145056387,0.4820405562296181,0.5200527788219189,0.4115411490734984,0.4687877580780496,0.4148811406271963,0.3740490830762999,0.4669040659032757,0.4540961873666265,0.4292542734196419,0.4085104399971337,0.466653509170712,0.4195144884308449,0.4838386023694021,0.4600710179454465,0.4760742893492105,0.4297268726869477,0.4929500443708272,0.36856290731490704,0.4593997002071444,0.4532151633095758,0.4380665683055369,0.3963949692227202,0.4676233410570789
wicket-1.3.0-incubating-beta-1.csv,0.3622015857245677,0.3925812365097425,0.453115476986619,0.3295235314430311,0.3231660787009145,0.30376717253665925,0.4743859845029004,0.35063565231858923,0.4710403490814201,0.2473353190408606,0.4604553717794808,0.3862811985003327,0.4527515499215566,0.4219354871329657,0.4853670875089511,0.2371355687806921,0.4447574307967805,0.3428193105433353,0.4585607388489237,0.3488268593286041,0.4710403490814201,0.25796697458627305,0.4331863987978304,0.3862811985003327,0.4145580058935108,0.39965045840827496,0.4563838267809107,0.2846214614512487,0.4295237273336868,0.31299941814769083,0.4525240117261456,0.37644203176273855,0.4676924805847421,0.2746841647818295,0.4192821404023872,0.3502556301725236,0.5148170728058928,0.4076931015427194,0.5207929786268788,0.2580299698890458,0.4914350244165764,0.4568067366497571,0.3914296520290284,0.40423096163424577,0.4597645530600117,0.3634060512394529,0.33047720850458995,0.3078873645933833,0.4325570275314009,0.4157765568151581,0.4648080845751811,0.2791334820105669,0.3836955332032165,0.28363154036210825,0.3741978000969107,0.4031683434069133,0.44598866964324013,0.2842686227454274,0.3544644868724473,0.3544721457988255
jruby-1.1.csv,0.5384340425101402,0.5432299004724154,0.6042254691872045,0.4737324175081156,0.5870312401427225,0.6209869906592216,0.5999730140725549,0.623820197295235,0.5966411093176632,0.44327801786998144,0.5968471266813156,0.605536656666845,0.5553879356599282,0.5650480534125083,0.570761772363478,0.410244150427367,0.5729583428595514,0.5775801114443192,0.5999730140725549,0.6610910306618496,0.5966411093176632,0.4873202167083139,0.6194579974996476,0.6333905394510652,0.5758086776305377,0.6101273830585864,0.6072772771866333,0.4785079887025557,0.6043035048733859,0.6337115121461235,0.5627037654950943,0.6089680728538783,0.5750495636943299,0.4783453779536889,0.5969107563695062,0.6113872470392941,0.5643395845296653,0.5748491926360993,0.5761136941744643,0.3185618770898379,0.5867227678044871,0.5897900041484417,0.5266989575121976,0.5913842097806383,0.6026511528114732,0.5942514021435956,0.6255201705508335,0.6379130954066735,0.5329414357724378,0.5553002622177978,0.58614722995414,0.4736157840111401,0.5828338570937247,0.5411073949860088,0.4734011142829629,0.579137390136522,0.6226533591085059,0.4742365015804346,0.5767867877441466,0.6038395562438439
jruby-1.4.0.csv,0.5202047118641472,0.5824496559907094,0.592495409750035,0.5313348568487769,0.4806666901490412,0.5739625533345438,0.5617073474380551,0.571283584219361,0.5963131803613732,0.4995146432121325,0.5731157177899108,0.5830192586764971,0.5468732324894938,0.573029455807831,0.6039680132450305,0.42135646167274265,0.5538902955941845,0.5833418105275547,0.5720352620419245,0.5817808317281226,0.5994238983722832,0.5082575941205917,0.5950939452433456,0.5832109968110095,0.5522404585505738,0.5809623827154865,0.5982230476875244,0.5339051245935097,0.5659726124965377,0.5857123216825572,0.547104212472036,0.576399004249496,0.6002042721324345,0.5326497218157613,0.5564893286630413,0.5840975964437289,0.5846993868632233,0.5687010756920611,0.5884634521995683,0.4044927808280752,0.5806295424986008,0.5663008912372475,0.5359230652228447,0.6008015786932658,0.5919912875891675,0.5789385985891822,0.5601183487383596,0.5904856865789554,0.5380548544918721,0.5959653620411784,0.5997499448167135,0.5539206171657681,0.5628786919009202,0.5981087668404769,0.4804468552873324,0.579547530152546,0.6034042925776327,0.5381421453847384,0.5174181981890021,0.5590487393219992
lucene-2.3.0.csv,0.5883179356026862,0.5762783681283037,0.5810179131238224,0.6361729721475234,0.5656230465501842,0.7083279201133549,0.6272551936228856,0.6515115669477382,0.6428700786590247,0.6942483053598023,0.6987053361607934,0.6977859277141222,0.6315200119230654,0.6692982289381492,0.6292252964115795,0.6847312677657823,0.6748817534979298,0.7266322197654973,0.6183907055067606,0.6515115669477382,0.635264733530577,0.6942483053598023,0.6905541470361091,0.6977859277141222,0.67351326867859,0.7194724167049579,0.6169939505171672,0.7218080450035059,0.7119645631663581,0.7398734947943578,0.6815631757295141,0.7415881923664007,0.639037548933152,0.7348125356754123,0.7209761777015771,0.7409083441701592,0.6174395581033919,0.6475276562880913,0.6523539469106682,0.6512649346228377,0.6897087196109132,0.6750342569090907,0.6221569386854836,0.7084523242542241,0.6012646876293717,0.7420475635308589,0.7036161374520716,0.7606736226906757,0.6282737762388755,0.6687459538557822,0.565798225680301,0.7146647445389596,0.6953704638830694,0.7190223224963566,0.5854174492424019,0.6826123473166795,0.5982049579446758,0.7110487990927885,0.6661985171730075,0.7198014851209267
hbase-0.95.2.csv,0.4205044368313423,0.4150791385738559,0.5297137981020895,0.4711691916452193,0.3767468648727295,0.4431281301436997,0.5037694749997401,0.4715364682509465,0.5277946698589667,0.4766873911801512,0.4870172950417792,0.4839649271024055,0.4508949158215561,0.4191844658326847,0.524651227220851,0.41082754809552346,0.4625737317075229,0.4747485462579878,0.6178627598271501,0.5667201885969798,0.5224602863967408,0.41390388721610094,0.5572286780644763,0.5156107145295964,0.550905861810443,0.5426212447852192,0.5104156262384718,0.4241693595931277,0.5526424643696051,0.4963901056490875,0.5340557288242413,0.4479016777198824,0.5105053634348454,0.4179607030331623,0.4662446216860315,0.4670776110706306,0.5415723694618249,0.4521866210344183,0.5714104842781795,0.4712694764039581,0.5007319201930094,0.5047156232628889,0.3982224482563689,0.4557621664851675,0.5098494614333369,0.3936035615763864,0.4071859969005754,0.44973812512252864,0.4426339604176841,0.4747488784486375,0.5118574904316766,0.4551504044066814,0.4263059915975307,0.4810713496213552,0.3988886356678543,0.4497088803950664,0.5133018177516977,0.4122708105964651,0.4091373275412291,0.4539552511204324
lucene-3.0.0.csv,0.3406331609420199,0.3411324793477339,0.3059711490315905,0.3231606809405098,0.2634181516564063,0.2753299513562854,0.451689371083845,0.3582516355585713,0.3415769819055403,0.3398342062528823,0.3980410743562233,0.2925089303943261,0.4548555661013854,0.34522860703245384,0.3529106462809097,0.3458709390389285,0.47292572906929203,0.3007860371596095,0.3992628620365229,0.3000834342717789,0.3562485836256222,0.2886602880015225,0.2992575738186249,0.2862894805784844,0.3849923464641215,0.3578193538762158,0.3317729189899317,0.3170437802560788,0.3668149654687991,0.2941767528362187,0.4247475148329991,0.33749368222675125,0.3517828056622749,0.3122105400081121,0.3593546173599343,0.2948047887896258,0.5461971494116942,0.32600579375054983,0.4669093402621293,0.3295310511421344,0.4944392670350398,0.38004018236680254,0.3545479331529882,0.3539955120724653,0.2980649472983481,0.2794047202915258,0.27738288951100176,0.2860536692790337,0.421807563142482,0.36758581043850297,0.3266937523459095,0.3161597440132491,0.32423842534183145,0.30512369624046315,0.33059929810695643,0.34268512887370856,0.3051354233414876,0.3290077080439747,0.3227421588654749,0.2883755024397894
