imb,UBag,UBag,UBag,UBag
clf,BagNB,BagNB,BagDT,BagDT
metric,matthews_corrcoef,pr_rec_score,matthews_corrcoef,pr_rec_score
activemq-5.8.0.csv,0.2887776314441418,0.3712238693339588,0.286172097403713,0.30652319365810843
groovy-1_6_BETA_1.csv,0.25838449026006816,0.3572329127734518,0.48644969240680613,0.57147078843264
activemq-5.3.0.csv,0.3439527043237918,0.46464049865261037,0.3673828510172693,0.45552745426748464
wicket-1.3.0-incubating-beta-1.csv,0.3483063858616376,0.389464934275482,0.43730424859005124,0.46290733012066826
jruby-1.1.csv,0.46585696962763834,0.6645440668035301,0.5370695370917453,0.681471845253655
jruby-1.4.0.csv,0.44026283318497994,0.5992047732652585,0.4485790522314178,0.6008716404329014
lucene-2.3.0.csv,0.5750968161334482,0.7136331036308471,0.6966654339743711,0.8515871118297763
hbase-0.95.2.csv,0.32407777308320884,0.5209871369195871,0.3814520692540161,0.569305303406354
lucene-3.0.0.csv,0.3170593483052824,0.3026788953368511,0.40075900722812935,0.48873181635515406
camel-2.9.0.csv,0.22923933387553247,0.34070981393232874,0.2395226394074228,0.22533345063499316
wicket-1.5.3.csv,0.24069740849135862,0.24928872995981352,0.24688861129575584,0.19450703496872038
lucene-3.1.csv,0.16859864564505964,0.20697685635031204,0.19962362525233818,0.16562588710626552
groovy-1_6_BETA_2.csv,0.2519706947036023,0.33698983447113523,0.4612494116920698,0.5426920838980644
activemq-5.2.0.csv,0.4211885689938223,0.5890431869025676,0.5142539802240561,0.5753557163764129
groovy-1_5_7.csv,0.279491697414833,0.43772561912595115,0.35231159594922123,0.42965935618276224
hbase-0.95.0.csv,0.2982367978065382,0.47948928323615403,0.4607579029468801,0.6342147466929762
camel-2.11.0.csv,0.17739449861082177,0.22189781468422592,0.24564060508864557,0.21522383694445826
jruby-1.7.0.preview1.csv,0.31800048970367756,0.3670764530212912,0.3493328982772602,0.31685691712553454
hive-0.10.0.csv,0.42519944757667316,0.4866991820520588,0.4381339672824171,0.4984002496499179
camel-2.10.0.csv,0.26129989054097874,0.3272141324968187,0.27899348143814046,0.24517428501859376
derby-10.2.1.6.csv,0.5380698794372307,0.7527305977811561,0.5940288772071234,0.7872064022529504
jruby-1.5.0.csv,0.39092907023578244,0.5182410588122647,0.44425656795436536,0.5108394073611813
derby-10.3.1.4.csv,0.4160951175055011,0.646743338534174,0.5057142966938963,0.6992926706834892
lucene-2.9.0.csv,0.31817074941356704,0.4621957114216606,0.4113518330730037,0.5374946081488489
hbase-0.94.0.csv,0.41376646006921414,0.5740766522175046,0.5101702524335047,0.62610096019269
camel-1.4.0.csv,0.33565208473206215,0.4941452308343455,0.40462039747659456,0.5428134787409862
activemq-5.1.0.csv,0.31880357318278196,0.42052642661725115,0.3192036128117274,0.36462482893663023
activemq-5.0.0.csv,0.4587297727693412,0.6034755698824231,0.5582795204894822,0.6793479718657879
derby-10.5.1.1.csv,0.37337577760446805,0.5075867882642164,0.406994064639845,0.4764711265598591
wicket-1.3.0-beta2.csv,0.3156760926164882,0.3828916050821359,0.3324774314096749,0.34090220199129007
hive-0.12.0.csv,0.269539455633412,0.221514540516284,0.3703960393931359,0.40650262779866564
hive-0.9.0.csv,0.44563947567161266,0.6252023442339569,0.5661382685921932,0.7425202225767091
