imb,smote,smote,smote,smote,smote,smote,smote,smote,smote,smote,smote,smote,rus,rus,rus,rus,rus,rus,rus,rus,rus,rus,rus,rus,wilson,wilson,wilson,wilson,wilson,wilson,wilson,wilson,wilson,wilson,wilson,wilson,tomek,tomek,tomek,tomek,tomek,tomek,tomek,tomek,tomek,tomek,tomek,tomek,None,None,None,None,None,None,None,None,None,None,None,None
clf,dt,dt,lr,lr,nb,nb,svm,svm,knn,knn,rf,rf,dt,dt,lr,lr,nb,nb,svm,svm,knn,knn,rf,rf,dt,dt,lr,lr,nb,nb,svm,svm,knn,knn,rf,rf,dt,dt,lr,lr,nb,nb,svm,svm,knn,knn,rf,rf,dt,dt,lr,lr,nb,nb,svm,svm,knn,knn,rf,rf
metric,matthews_corrcoef,pr_rec_score,matthews_corrcoef,pr_rec_score,matthews_corrcoef,pr_rec_score,matthews_corrcoef,pr_rec_score,matthews_corrcoef,pr_rec_score,matthews_corrcoef,pr_rec_score,matthews_corrcoef,pr_rec_score,matthews_corrcoef,pr_rec_score,matthews_corrcoef,pr_rec_score,matthews_corrcoef,pr_rec_score,matthews_corrcoef,pr_rec_score,matthews_corrcoef,pr_rec_score,matthews_corrcoef,pr_rec_score,matthews_corrcoef,pr_rec_score,matthews_corrcoef,pr_rec_score,matthews_corrcoef,pr_rec_score,matthews_corrcoef,pr_rec_score,matthews_corrcoef,pr_rec_score,matthews_corrcoef,pr_rec_score,matthews_corrcoef,pr_rec_score,matthews_corrcoef,pr_rec_score,matthews_corrcoef,pr_rec_score,matthews_corrcoef,pr_rec_score,matthews_corrcoef,pr_rec_score,matthews_corrcoef,pr_rec_score,matthews_corrcoef,pr_rec_score,matthews_corrcoef,pr_rec_score,matthews_corrcoef,pr_rec_score,matthews_corrcoef,pr_rec_score,matthews_corrcoef,pr_rec_score
activemq-5.8.0.csv,0.1553316774650159,0.23715536440003387,0.2583428852169143,0.29760238473378814,0.2892765944790664,0.39352266370375943,0.2449272328778286,0.19398343389526765,0.20508099101914506,0.26514261091596864,0.23509486354189948,0.2814409313687354,0.18320198703690832,0.41099255846137744,0.25205467235984175,0.2939620810669258,0.2829016722106588,0.38956702684896205,0.2620779334205405,0.25146058954543526,0.20666905530834995,0.2645822167985419,0.2520118158764604,0.27802922274905895,0.22451772144356888,0.31101425631632174,0.28193981907828286,0.31633639092466387,0.2834329263050149,0.4149699457712645,0.27807704158555213,0.3148775211375978,0.22418037061601087,0.2413840141293053,0.2846825723010709,0.32994776245181745,0.1989340934634716,0.2629152652288861,0.26910453552090147,0.32729247930633426,0.2933182628569608,0.3912088400819039,0.2704838645860933,0.28806457137913277,0.22483296149797327,0.2599887752032282,0.2806211096591758,0.3369718892188321,0.15975942745815325,0.2278425758749655,0.25783728445400445,0.32685781623253446,0.293475812655517,0.3880628253840727,0.2589819601625677,0.2748275229975156,0.21580462247057214,0.24976655671745981,0.2777288235636016,0.331370597823808
groovy-1_6_BETA_1.csv,0.26117474938521845,0.3723465666914045,0.34627700737528516,0.36865248767486875,0.25621955708085975,0.41683906429391654,0.3674194595354015,0.3719535707415642,0.27222311313555697,0.38796989319314745,0.38132209755361474,0.38492266331247316,0.23415788411499197,0.45747917397636195,0.31483907800321154,0.3399544293192669,0.2442203149116529,0.3959567247932823,0.3687772148683429,0.3929919257714669,0.29868080545988307,0.40371452828881454,0.33394877663237105,0.4152890378851797,0.30634737188849576,0.4738550652208699,0.4092840506071345,0.3721826963388574,0.2674897254076144,0.4031683481933041,0.35220274866609264,0.3904078532611178,0.3545923251867877,0.48293426716006427,0.4009796379027297,0.4440772339289885,0.32077937117492317,0.42287942220582464,0.3715544842095034,0.40206502671104943,0.2455962930081762,0.40958150830628254,0.3874404635787186,0.41742578649622186,0.4122807502450969,0.3971066177822676,0.43208068882767997,0.43630249305200464,0.2768329196781463,0.37938285833471064,0.3491987181481847,0.3958020750937355,0.24420460451307424,0.40329099075091923,0.37818626599741356,0.4093168181616035,0.38616005805824793,0.3502720195016705,0.4154435620386268,0.4239637605782031
activemq-5.3.0.csv,0.2705800826846272,0.36856290731490704,0.34903737293056364,0.4341304174223602,0.33560897578654225,0.451910565006393,0.3717658830369841,0.41050459244668525,0.33725758192755373,0.3961400714761497,0.355545152775222,0.4676233410570789,0.2746143406250565,0.4666141578696687,0.3435079808552098,0.44083101851532414,0.32696944001679,0.4523205619847028,0.3326535780124432,0.438480801178218,0.32937494511641835,0.3955378318731803,0.3254565116526378,0.4223728811936912,0.3343569346982928,0.44100700221259104,0.3821653663284674,0.49010323774021514,0.33954705444943917,0.4651019812055511,0.3958644013608992,0.47443589458393715,0.34359646946070704,0.43747542055812016,0.38770279941241165,0.4902267875055527,0.25503496802989384,0.36828414800306697,0.34362896063373155,0.46655647114401566,0.32778614063219763,0.45329811878239185,0.30857709416629375,0.4380665683055369,0.30139731478895593,0.4097943303746298,0.3247541795744601,0.4713448242957815,0.2529320567418837,0.36667875965508573,0.3179746008333007,0.4593997002071444,0.322431665470802,0.45321516330957584,0.26578941572310394,0.4323336435861518,0.27318368945832294,0.3963949692227202,0.3011417530984404,0.4649211303409975
wicket-1.3.0-incubating-beta-1.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jruby-1.1.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jruby-1.4.0.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lucene-2.3.0.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hbase-0.95.2.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
