,spyder,spyder,spyder,spyder,spyder,spyder,spyder,spyder,smote_ipf,smote_ipf,smote_ipf,smote_ipf,smote_ipf,smote_ipf,smote_ipf,smote_ipf,smote_enc,smote_enc,smote_enc,smote_enc,smote_enc,smote_enc,smote_enc,smote_enc,ipf,ipf,ipf,ipf,ipf,ipf,ipf,ipf,ihf,ihf,ihf,ihf,ihf,ihf,ihf,ihf,clni,clni,clni,clni,clni,clni,clni,clni,ihthres,ihthres,ihthres,ihthres,ihthres,ihthres,ihthres,ihthres,enn,enn,enn,enn,enn,enn,enn,enn,ncl,ncl,ncl,ncl,ncl,ncl,ncl,ncl,none,none,none,none,none,none,none,none
clf,dt,lr,nb,svm,knn,rf,BagNB,BagDT,dt,lr,nb,svm,knn,rf,BagNB,BagDT,BagDT,BagNB,dt,knn,lr,nb,rf,svm,dt,lr,nb,svm,knn,rf,bbag_DT,bbag_NB,dt,lr,nb,svm,knn,rf,BagNB,BagDT,dt,lr,nb,svm,knn,rf,BagNB,BagDT,BagDT,BagNB,dt,knn,lr,nb,rf,svm,BagDT,BagNB,dt,knn,lr,nb,rf,svm,dt,lr,nb,svm,knn,rf,BagNB,BagDT,dt,lr,nb,svm,knn,rf,BagNB,BagDT
activemq-5.8.0.csv,0.18912011632075096,0.2883600414476397,0.2814887543461204,0.29319077640585145,0.18070935687663628,0.2778589886990691,0.2836151198159232,0.2635096003496117,0.2351034096443368,0.24841908034394045,0.26523394593066285,0.24359524528846305,0.2314594673117583,0.2451822040949706,0.2621435501463167,0.2456998777119057,0.2447995813031695,0.2864930601829691,0.1958308454191912,0.2127352006003676,0.24985842078165,0.2868438480207192,0.253842690819392,0.2406962752177429,0.2335178591619148,0.2458954766943521,0.26523394593066285,0.24359524528846302,0.2314594673117583,0.2396499058542867,0.2450698841050752,0.2698235299096806,0.2336966678893393,0.2573296280683223,0.2960485908130103,0.2545524546789217,0.23780666935543998,0.2707866642916199,0.31023774772499396,0.25267802376254633,0.22672302454746684,0.2392447367936557,0.2881366005918312,0.2491912167177392,0.2152454111225413,0.26264648582192146,0.28104044576117754,0.22192613628898372,0.2784837031305604,0.2694696397683085,0.2400453320131804,0.2437594725303172,0.2495364557006545,0.2545496516790682,0.2578506904079185,0.26058012327756896,0.26824160611430103,0.2919931270520563,0.19866851996328616,0.23277683607236346,0.2453989584922552,0.2956563692444757,0.29557655990218346,0.281267436781601,0.20614663012090795,0.2706575565652415,0.2889212721047015,0.3087930869324722,0.233423848977927,0.2736144296089259,0.290179086109431,0.26676644944208683,0.18320198703690832,0.2583428852169143,0.2892765944790664,0.2620779334205405,0.21580462247057214,0.2777288235636016,0.2838225908592912,0.2583976175780678
groovy-1_6_BETA_1.csv,0.3164372747071894,0.3464256299148177,0.2259459236312696,0.352759083241454,0.2910508228913187,0.4441846535017861,0.2500179994513509,0.4505562556530603,0.3861533697777453,0.3761719896800183,0.2988980743193263,0.3878583162034252,0.36441054020225183,0.3834490156351131,0.3018940116339601,0.3864750593602851,0.4456989166581009,0.2674449595317524,0.2925598827336416,0.2478212509748161,0.3098013133614952,0.2600071432968457,0.3730661128859352,0.3134471380721368,0.3246824717303094,0.3518367376090643,0.28709129057244165,0.34212604429645394,0.33686162434260153,0.3315910316751875,0.3602542542039113,0.3178643022389787,0.3933506732889404,0.3413874262807757,0.2690991356591418,0.3697805166862772,0.3928523318634348,0.42769724052027663,0.26110261890232594,0.4034523246337779,0.37327733517468414,0.3404304419699507,0.2645588605360443,0.3385481724614934,0.3789183972305839,0.4250432397409446,0.2826032654433194,0.4272263506989115,0.2846214649768703,0.2655528819372252,0.20844536734805336,0.2929193536295131,0.2716703598034552,0.24816017242717936,0.2324197801258597,0.274446714577878,0.4523634064791008,0.2396959408419247,0.3106782248992052,0.4056225292781164,0.41643171839632176,0.23438817459160424,0.4732748957284453,0.3923277887189069,0.3297659604533001,0.4228668839860631,0.266214122940147,0.3655023179799218,0.4004534956962045,0.4489730028336593,0.2758293627623605,0.4717117999534893,0.2768329196781463,0.3491987181481847,0.2455962930081762,0.3687772148683429,0.3545923251867877,0.4009796379027297,0.2494139029557544,0.3750596377499639
activemq-5.3.0.csv,0.2593123636700433,0.3638697081560896,0.33580857177694795,0.3938829210320812,0.3099927558060989,0.32682576827063115,0.3323948370041521,0.29982619156229845,0.3185899473965008,0.3521801653818805,0.33732929324281685,0.3564726566687483,0.3429731432294886,0.3390861756775021,0.33270179601020344,0.32752966542936346,0.38180585626006497,0.3305415985526304,0.3385483488623096,0.31651398568213823,0.36910435418214105,0.32715810919692045,0.39068174093442537,0.36422087456672736,0.2855190210509536,0.2960207081208701,0.3099948995764482,0.30040737157722736,0.3076297071983222,0.28880724809068226,0.2924959754448165,0.31815682810809226,0.29557234359752355,0.330580892344296,0.3352492815965568,0.3164160200017853,0.3231088060606153,0.2985301187742323,0.33796225887008496,0.2475723647006647,0.2963510618800033,0.3277302451965944,0.32738059369257594,0.3233551485093104,0.3156702423008041,0.30965922156215764,0.3471882292185373,0.23307268412252186,0.340071201840702,0.3120294975717044,0.2952997174309443,0.3338652471459107,0.34743732266579663,0.30240532597304537,0.30425238363423285,0.32202936350741324,0.30998060670215744,0.32473627503327496,0.26188905486481384,0.2969033320464889,0.3427088424663378,0.3272479199837932,0.32943211168399705,0.3276225256272733,0.3124618226189962,0.3709436553192863,0.3388643902998459,0.4002734317608177,0.33405810579116463,0.3822456006276677,0.334245736273049,0.31934114866826063,0.2705800826846272,0.34362896063373155,0.32778614063219763,0.3326535780124432,0.32937494511641835,0.3254565116526378,0.3280358934793844,0.3461798085665118
wicket-1.3.0-incubating-beta-1.csv,0.2071615127151134,0.2808203375026081,0.3133930965116698,0.3230199312880167,0.19611942028272092,0.29016029477045185,0.3132459517998945,0.32422028297763605,0.2908828508540385,0.2923769383159695,0.3049693324326124,0.2967679486095017,0.2958777722215139,0.28536822815843266,0.29324495958030405,0.28298380906340376,0.30282424961249865,0.30829007770697026,0.2196390551814788,0.1990970137589175,0.2279568322625372,0.2965830424120394,0.2700882782117355,0.22456402775930231,0.2913619794758271,0.2923769383159695,0.3130861194778424,0.2967679486095017,0.2989752948914514,0.28536822815843266,0.2802854296522891,0.30396515301831384,0.2927611695913161,0.3210704385131234,0.31226364991684874,0.30116338695715866,0.2960338739918765,0.2947419543320937,0.3173815424215177,0.2764678058691458,0.2536517263762708,0.300128237348679,0.311798999822068,0.2836209856551101,0.2814886915919633,0.28660524158120554,0.31816511764134553,0.2775994300499064,0.211317022432892,0.24709512322957786,0.1654710605591805,0.2064741139795528,0.1795223952714037,0.2107277060855666,0.18089915496889286,0.1832974865415709,0.3134852595526431,0.3174226929160543,0.2432945609462202,0.2734243488943984,0.30720751536874114,0.3196601564676222,0.3090201102331258,0.3356122391223324,0.22320838138183632,0.2994480914377033,0.31578435619277484,0.3251232352677696,0.2692190105408829,0.3052996210128946,0.3112508053895283,0.30806280460413393,0.2371500818321973,0.3048717643084133,0.3229422089746244,0.2986334026967713,0.27459977439777,0.2958908962690598,0.32652882164535785,0.2785265384551477
jruby-1.1.csv,0.3721740159555089,0.3943899295613136,0.3806247670180421,0.4258427109585007,0.33307468194732226,0.44828664505662735,0.3722316595312353,0.4784602764528153,0.4397882078407651,0.4340245199773466,0.4055407398946454,0.4354882648902265,0.4076046873564518,0.43276795716660976,0.4028153718397195,0.4381959960712923,0.42976971934231456,0.3904311605961733,0.351741260555299,0.30818989377438755,0.3547830251350223,0.3672609209224749,0.4040021138505212,0.3568504258597829,0.4397882078407651,0.4340245199773466,0.4055407398946454,0.43858665232385946,0.4362338519265991,0.43276795716660976,0.4288365794981031,0.3926372643523422,0.3962924117981049,0.417085559970782,0.3885800095419027,0.4286560647643306,0.38333342776959495,0.4333951274050463,0.464641934415435,0.5464654259395421,0.36366412946241583,0.4109918776186219,0.3747048338894103,0.4153536865503398,0.3696586976870291,0.4099175237016642,0.4263409410875567,0.5356725427944025,0.3243915426496973,0.33338473243422984,0.2628219910677261,0.2782732346585566,0.2718291272843074,0.3009685483270529,0.2701773527092916,0.2796773417051454,0.4901845717478632,0.37399203486754,0.3553076384016664,0.4284932915411833,0.4486883969840685,0.38052938286403865,0.4664139019062338,0.5088665063946118,0.3373061007393645,0.4118078328545937,0.3841992492815109,0.4502439457759862,0.36751996188134,0.4136152844629744,0.3778465844595213,0.4444416053854397,0.30849206701690784,0.4114396782417388,0.3812109928284725,0.4180202375374892,0.3539714866557338,0.4385449340013091,0.38106757568434496,0.43861084048355375
jruby-1.4.0.csv,0.3342164267721859,0.3690589144770227,0.4211816627613972,0.3787733999519776,0.2948355189503032,0.4177880634508174,0.4285843995528131,0.4432728635062886,0.3657286242112552,0.3996426727842263,0.4369543046338037,0.3973660080723146,0.38906763175037545,0.3752305757909996,0.4334728290446737,0.3814349031276709,0.3951956499224984,0.4173723433275373,0.31795115376327504,0.3061778324936404,0.3358852217391403,0.4101520821136598,0.3732713834014307,0.3122919250345161,0.3973028417233277,0.4163670086707805,0.4369543046338037,0.4222349420481642,0.419438206989274,0.3976969418649039,0.386738102937983,0.4149566484746203,0.3569258653165404,0.3838818916910774,0.4406436626995979,0.3880850976130717,0.3562712108570247,0.4281106929603032,0.4569231574746357,0.4212424384654228,0.3425031753903079,0.3991352054746655,0.437446054989049,0.4139292663831903,0.3461450240060581,0.3906218123517775,0.4510733935431765,0.4185233647684121,0.2709455406249991,0.3430300635674779,0.25034440210399816,0.2711195324673961,0.2569766218212663,0.28198416188196485,0.24938770210501746,0.26467286823124603,0.4113483983443393,0.4436061421192867,0.3518452568179898,0.3989922541640412,0.4638704472927669,0.4322085552842627,0.43211361230001066,0.4437742071107992,0.3154662783017974,0.4137859937559572,0.42693253852595975,0.4189144321604849,0.34146940162612105,0.3914582908954016,0.4367970864974911,0.4247655456384025,0.2694051511255454,0.3887440893311133,0.4473224350681517,0.3823145024097186,0.3258682239576396,0.4027407040438761,0.4495153459534877,0.41098676656234795
lucene-2.3.0.csv,0.3742921366319985,0.4014658057021113,0.4104222094198737,0.4947989142370819,0.3978212784950352,0.5551920309831554,0.40725745177587147,0.53154215792436,0.4298734399598949,0.4908130535347249,0.4937749094245368,0.5404763125431795,0.5354221225565949,0.4656747920607198,0.4809951983828163,0.460320519073521,0.5784824351597531,0.4648410872905829,0.41200349318156265,0.4194501191144387,0.4601705405074105,0.4413968468178153,0.5481615479518781,0.4437784578510239,0.4077879969368156,0.478165843338911,0.4670136066483469,0.5006514038621629,0.4898728667024368,0.462627274719994,0.4732145318930723,0.43682484656847387,0.4837894405426604,0.5053576159353872,0.4448085034495949,0.5185604409516926,0.5231073560858663,0.5177782414152385,0.4639199588997928,0.4639884510725879,0.5035864256495252,0.5408974691328519,0.4653670511459116,0.521385606075176,0.5102791794348144,0.5491668535380497,0.4797016885827258,0.5370139706190773,0.4320886040385735,0.3960255332646036,0.31565425569888794,0.4585556304090899,0.3900923045429758,0.3786929697154736,0.3621635095628908,0.39093452372356063,0.5500539965722985,0.4184067759686105,0.4354246977483781,0.5565797258221168,0.5456857546379024,0.4165641736372483,0.5800713266229629,0.5903052139372253,0.41433291383711096,0.5180833920421667,0.40063345975569015,0.5595595409310224,0.5232018773037759,0.5409203720886986,0.40952985134517467,0.5665315701077485,0.3805282543885085,0.4894505138260785,0.4036069339911032,0.5281292357064853,0.5106908908711528,0.5335617972110527,0.41662149224683576,0.5141015606045027
hbase-0.95.2.csv,0.1339470155088515,0.15924315202934433,0.31087790042482744,0.267858553663672,0.13447714586925008,0.1892163072282971,0.3118954406703577,0.17695369913128906,0.22323200497936413,0.2528096879190078,0.3167075427782382,0.27498907865573297,0.246752248422534,0.22643297071011564,0.3165250754531225,0.2570846894128521,0.239954624539238,0.3162155755592764,0.1707781487640607,0.17825167499246786,0.1908669274671589,0.3181512022282949,0.2247734888708942,0.1866690372726548,0.21257833463334155,0.20995516240328665,0.2389712791774571,0.2256602266040096,0.20508873182189846,0.20785936494822366,0.3039498340883953,0.31495565076319115,0.1930049172146341,0.17415899427843726,0.24771616805155705,0.19674133283002232,0.16894651279570744,0.2293304613565933,0.21914690228030687,0.16096623253197578,0.1731608591975824,0.19304006308611413,0.2907586737390754,0.18444719311763305,0.17603586381190614,0.21552854402399546,0.21420444491314136,0.13466046131299425,0.2565192887893709,0.3156695640409213,0.19366973793805733,0.2275761167373092,0.2703237122821593,0.314489411361706,0.2538930832345132,0.282273604823422,0.17148632994550686,0.30515921629557663,0.11896486442618642,0.15634501910325171,0.16033502674291786,0.3096321309342542,0.18120280190099386,0.1839165503604417,0.16769915235633195,0.2053966463589528,0.3201969798407021,0.24641548769066354,0.20387572912299048,0.22428142804062592,0.3097115783575933,0.20917024278041665,0.12432627622860785,0.16558048849980678,0.30717760218502144,0.1805692206499382,0.157790846044289,0.19172662504372884,0.31420246791844664,0.19881587984530708
lucene-3.0.0.csv,0.1863911416343232,0.30029174559464256,0.30453455410173885,0.28638644236326394,0.22255198331883852,0.21579627902671164,0.30369706798101803,0.17576470860546525,0.24990558037033364,0.3059504814158185,0.303757635353502,0.2999805721522858,0.2606379912349361,0.24782317679523064,0.3089452474907681,0.294932043906318,0.29638142114473337,0.3038036686193896,0.25546206672138483,0.2465561036077865,0.29502203672169264,0.295468647077331,0.3491326972568981,0.30416342606865804,0.2498807736971213,0.22543414622584965,0.2732040932450596,0.22774454479860345,0.22101123828026356,0.24158652188948776,0.32479541890211217,0.3058953652876954,0.22868425100281306,0.33075935959134484,0.295510288843839,0.3222305365849216,0.2626150381863618,0.24912442417804706,0.2879515328001573,0.11092165005082424,0.2359051411345659,0.3187556514045361,0.2896228351966703,0.3001801283100541,0.2450532990848863,0.3213216635689743,0.2384497103864265,0.0869608512248452,0.32566699871910354,0.2715465482377854,0.2415268090197412,0.2841877851932889,0.2821769478971591,0.2473892075017685,0.2694253973749924,0.2823434602456848,0.14423820445571425,0.3052658989806032,0.2027821052677616,0.2097953683356934,0.2604121728201041,0.29563511980136986,0.2016620292385793,0.2004302656641556,0.2478801687537092,0.3240487951271709,0.30620512522031,0.27472328701518944,0.2889344091595017,0.2978878972327236,0.3026177172312169,0.2748186036907479,0.17483411978408678,0.3081959928928343,0.30172471166317577,0.3124590966166139,0.2439492101867677,0.20987035521874828,0.2872596769683623,0.2878004247984534
camel-2.9.0.csv,0.096275757438546,0.21060085064364453,0.22629703053039724,0.2875416248976865,0.18992739012651724,0.20011428548230847,0.2190553645044401,0.21192522917404247,0.2247049356893754,0.24285550649665186,0.2374044541877231,0.2429990387875237,0.2598715677120848,0.2261077197849275,0.2417254710843877,0.239813162199238,0.2297355453502889,0.2267527335926064,0.16651135331128128,0.18176131113847446,0.16878980541985394,0.21806101153410493,0.2725323568366258,0.17141556671612154,0.1967200361649553,0.20617166424709074,0.22628605735297186,0.22641311621140334,0.20431318369790444,0.21224662697597568,0.22242398634909946,0.22413547730942746,0.1775213947170996,0.18472617672288968,0.23292748144414355,0.18867589234566934,0.1820004488575137,0.19905786321316485,0.21015792112323148,0.11372062896164052,0.17757809941581332,0.205125996610202,0.2767763980926276,0.17794011670536725,0.1872724949164104,0.2204827882607111,0.2751227742103274,0.1559909396751187,0.272758633848326,0.2150152826731264,0.19164407738778844,0.2823639629682385,0.2324704292028173,0.1978030858131412,0.2370975852086841,0.24404899095843305,0.2326256333756417,0.2425398552911561,0.14223460415352562,0.2375786578832257,0.17938313229933872,0.24135421618012315,0.223863533726494,0.18906285435129344,0.16673012370925636,0.2611598385647804,0.2371162191592716,0.24128899944512594,0.2892268557439954,0.26699524668412555,0.23736279654716055,0.24693028936549336,0.11709420572591532,0.1767367287453845,0.233900793261524,0.18340441842642885,0.2006530142617172,0.18704042464207354,0.2317819161926009,0.22675171880124706
wicket-1.5.3.csv,0.09156169816678296,0.15215005685749428,0.2028419420119997,0.22146871638581456,0.09991646949395748,0.09678263923715594,0.2006691368795316,0.07720596889599196,0.16087105144598934,0.1890812887441775,0.21489953106034232,0.18780695143250564,0.1867401709683757,0.17177656115661047,0.2178728507007346,0.19597521859326572,0.08208392135849853,0.2084088851653224,0.1253595297341999,0.15045612462460814,0.1640940125871079,0.20930387342478696,0.1411379511039062,0.15931497995631685,0.10948679668315373,0.11588969200051448,0.044237194551812326,0.09694429095515446,0.11588969200051448,0.11632453007598173,0.21494083182008908,0.2063828534987648,0.11643356688330525,0.1296156661324964,0.2079403891665922,0.1417741852284836,0.12273840948451732,0.12535109938361344,-0.006281989778703816,0.09447237834742682,0.11688208673771122,0.1258380041920791,0.20852111473617985,0.13303850828715438,0.101760381035007,0.11176192108445576,0.09013151147860304,0.024283856908758016,0.21675525547701602,0.21352064419432332,0.18213384715837352,0.22125963830820786,0.21516413683121105,0.18973945422787614,0.2220179785111324,0.227699677772306,0.07387728735611188,0.21515222935128447,0.06919663468151313,0.10585896034569484,0.11841640335756792,0.2219973012328801,0.11413259421040067,0.10955405466593156,0.1220959226326689,0.1423271573484174,0.22261136074288387,0.16505381200339633,0.16199048176258074,0.13703573212833006,0.21632372659624904,0.1441378832967475,0.10374467310978497,0.14167075457218953,0.2200668230844184,0.13594816091984874,0.1315063554418512,0.0929620681986381,0.2207179590840272,0.22479873450035376
lucene-3.1.csv,0.1457136325477683,0.18873317152307045,0.17316767544144554,0.18377612562493054,0.15217079028172156,0.18232212142878906,0.17375432454516934,0.1744155480643958,0.16744745161732155,0.1681579414862278,0.18784555276831466,0.16512628067528368,0.17915355970783994,0.1693282645155169,0.1946640416169941,0.1762091602547,0.1876841712865044,0.18855348657209187,0.14525585236731844,0.13904352085926022,0.1519709314261088,0.17919964320770138,0.17435636544049626,0.14030100880561888,0.17356966423926193,0.17918515625231204,0.1868105464598056,0.1756234781088978,0.17915355970783994,0.17604796499723144,0.16789971319815133,0.19455969112524885,0.1604527396577592,0.18536540437308904,0.18379934844629509,0.16483280408965748,0.1491971366917177,0.1939706001545723,0.1825495457964633,0.18475102454046274,0.1679810454665974,0.16329851676383034,0.17953872168477605,0.15930787588869547,0.16127191058213206,0.17583032476103888,0.18372434711238864,0.17166152093151826,0.16647962247240827,0.14471582385293094,0.12320715841565738,0.14297417420299427,0.1299846256924247,0.1260702498585471,0.14221005929611566,0.1428829613643133,0.17571904061860932,0.19247311688977906,0.14479553015433014,0.15801026502519944,0.19635575237707115,0.18527948800924965,0.19059981394696973,0.19630566429788868,0.14855858869410593,0.18640846119781204,0.17645715978594406,0.18496405483081665,0.1733111977461887,0.19099454546966715,0.17993122806256218,0.20406698020771824,0.14130568562923942,0.19912733160006948,0.1878678730275612,0.18369051506435508,0.16344190632958225,0.1826559267026926,0.1822482103797277,0.1811362490683652
groovy-1_6_BETA_2.csv,0.2908512782510637,0.2152664873700816,0.22065385703250293,0.3120358758495753,0.3410894893794596,0.3716393181783373,0.23212197263453185,0.3841417477669523,0.2988295858727445,0.2929609063505325,0.26154952136394816,0.3038670112537608,0.33078793952795704,0.34940393293831123,0.28681734566303296,0.3183915104836588,0.3743481136436148,0.2600202072712321,0.2596733303716789,0.28494535342820426,0.2444244685145891,0.2512600154028173,0.386531967708898,0.2780543117479564,0.20398081252470748,0.2435215202674084,0.2306086980997633,0.2397442823456685,0.26357502058627563,0.21152849846628088,0.2124165915480941,0.22452084771408806,0.32260766380822475,0.27268117002328035,0.27203234961255485,0.2747728399114921,0.3465093139444365,0.3474039380935057,0.2760932021730077,0.37199277364022026,0.3234138054908204,0.32379402930222545,0.2727098427113372,0.28346275470961074,0.3734934007509497,0.397319009170895,0.2768596308427928,0.34988642443398554,0.2775983123125786,0.1916715771573341,0.1655861423497679,0.2224165695626129,0.2001402960917057,0.1624563974933748,0.20207788270032712,0.2079539081206531,0.3863554846413068,0.26255382481687434,0.2958374780136997,0.3638200059004852,0.3053526992588409,0.256395287101661,0.3953472297060814,0.2999981144559016,0.2689475496814033,0.30894171035949325,0.2332320106376045,0.34285486746460764,0.3707588452314907,0.3637621794219171,0.2322610045159659,0.39998916570709897,0.2469609293741489,0.29200992465688835,0.2451596475856216,0.28317401731863,0.35989740059806524,0.3705640514957602,0.2415994570697488,0.3789098850163465
activemq-5.2.0.csv,0.24033702005667826,0.3663391818171787,0.37697230053313335,0.465641430132553,0.22613926081569125,0.2688095641905351,0.3557091969153348,0.2340644839068857,0.3233247208394742,0.3625915053419254,0.382756497031793,0.3657107024107144,0.3317008816362673,0.320161522251193,0.36380181080024704,0.3402603984560542,0.4040253469443151,0.36559739200108055,0.30342256251650923,0.28704176463867337,0.3367968089579753,0.3701382976122304,0.4199122170932163,0.3559556175033212,0.28071104078875353,0.3136482693140591,0.3593118525008904,0.3167458213835439,0.31681773533246793,0.28788084364360417,0.3066477147927951,0.34730713340047564,0.2718650272339625,0.3542522112334697,0.39853962597986936,0.3541421355328484,0.28778217268011896,0.3122885399152417,0.3781551622159491,0.20535038889222035,0.2865871229877059,0.3484457020073124,0.3927664757355103,0.3663678028318589,0.28751767032129405,0.2978405114690396,0.3797091617560652,0.2694581916984384,0.4123343084639425,0.3609298942044649,0.29793276534751056,0.3345104143820246,0.3815159089965761,0.3405009891362692,0.3147216277829633,0.3485546109080944,0.2776599074117068,0.39131803210426097,0.24586518315982184,0.3032592871377837,0.3516104609686447,0.4189713756362963,0.29587269358138873,0.3264108863700737,0.3092938096402249,0.4279271892370653,0.4059187508666832,0.4412080539120928,0.3550479069928158,0.3643313231187543,0.3920552433486684,0.3649375564704772,0.2507679793902063,0.3471239387421656,0.4008798792031613,0.3905127929567664,0.2774068868094907,0.32958526983053593,0.37978090267375775,0.3641812218034874
groovy-1_5_7.csv,0.2406960296827301,0.2602809296378163,0.2334181938263146,0.3307059978513909,0.222220107142892,0.3591998980134135,0.2066399979737124,0.424182610108934,0.21249800478679512,0.2168189573765413,0.2265042620390765,0.23839403260750314,0.21155686908016594,0.2424774325884419,0.2392375872137951,0.2662132356215974,0.3486209416276438,0.22363386360638,0.17574999069673164,0.14286487425836722,0.171714653388758,0.21581428855798884,0.24566196127117984,0.15651433159388564,0.2797540586365092,0.4011666468959719,0.33285428032186576,0.3827899941388203,0.3768092574049253,0.2634454348032963,0.2085573690604296,0.1928599993072995,0.3040069289949835,0.3680182507271365,0.2688512851642945,0.369445619636176,0.4105754197920269,0.3625432181970742,0.3584565368342746,0.4240320123276843,0.308205397926306,0.3595929279676381,0.2604355489680405,0.3964211490922747,0.3989163625513499,0.3863026152175334,0.2907732677553505,0.40396278462378776,0.22221686723265235,0.17210126742120033,0.13042387944526054,0.1552862738866275,0.13902315221291375,0.12372576783919215,0.1283916737756616,0.12962361870204325,0.3579086179014091,0.25368816640910835,0.2482036236493884,0.4375893710388376,0.3748143809451639,0.26009526745868405,0.3978506142473941,0.44271949525735743,0.22463019297669395,0.337126801493995,0.2365957427146327,0.3962963408896368,0.3520120662872557,0.3529620229413649,0.2168836589480053,0.3600652898558566,0.20858118187592845,0.2917466172097092,0.25332662407293965,0.3454131668010452,0.357176058783945,0.3331567652684098,0.2541767712591713,0.2339630661195265
