imb,Spyder,Spyder,Spyder,Spyder
clf,BagNB,BagNB,BagDT,BagDT
metric,matthews_corrcoef,pr_rec_score,matthews_corrcoef,pr_rec_score
activemq-5.8.0.csv,0.2836151198159232,0.38222857015192574,0.26350960034961174,0.3220411588884341
groovy-1_6_BETA_1.csv,0.2500179994513509,0.36930663152182125,0.45055625565306034,0.4478519134291112
activemq-5.3.0.csv,0.33239483700415207,0.4595864853577914,0.29982619156229845,0.46829911720878403
wicket-1.3.0-incubating-beta-1.csv,0.3132459517998945,0.4416445704181922,0.32422028297763605,0.32751200559859794
jruby-1.1.csv,0.37223165953123527,0.6157555511161974,0.47846027645281525,0.594636672093145
jruby-1.4.0.csv,0.4285843995528131,0.6019350926411117,0.4432728635062886,0.580787984862645
lucene-2.3.0.csv,0.40725745177587147,0.595703754217481,0.53154215792436,0.7246440021915418
hbase-0.95.2.csv,0.3118954406703577,0.5402936770388062,0.17695369913128906,0.42915516263956033
lucene-3.0.0.csv,0.30369706798101803,0.30801932249133956,0.17576470860546523,0.28568234656870384
camel-2.9.0.csv,0.2190553645044401,0.3442764952960615,0.21192522917404255,0.20140949562984573
wicket-1.5.3.csv,0.20066913687953156,0.29213999964490844,0.07720596889599196,0.16630685184991384
lucene-3.1.csv,0.17375432454516934,0.20951021435811312,0.1744155480643958,0.15650436252657823
groovy-1_6_BETA_2.csv,0.23212197263453183,0.31846369998679513,0.3841417477669523,0.46271595641095703
activemq-5.2.0.csv,,,,
groovy-1_5_7.csv,,,,
hbase-0.95.0.csv,,,,
camel-2.11.0.csv,,,,
jruby-1.7.0.preview1.csv,,,,
hive-0.10.0.csv,,,,
camel-2.10.0.csv,,,,
derby-10.2.1.6.csv,,,,
jruby-1.5.0.csv,,,,
derby-10.3.1.4.csv,,,,
lucene-2.9.0.csv,,,,
hbase-0.94.0.csv,,,,
camel-1.4.0.csv,,,,
activemq-5.1.0.csv,,,,
activemq-5.0.0.csv,,,,
derby-10.5.1.1.csv,,,,
wicket-1.3.0-beta2.csv,,,,
hive-0.12.0.csv,,,,
hive-0.9.0.csv,,,,
