clf,dt,dt,lr,lr,nb,nb,svm,svm,knn,knn,rf,rf,BagNB,BagNB,BagDT,BagDT
metric,matthews_corrcoef,pr_rec_score,matthews_corrcoef,pr_rec_score,matthews_corrcoef,pr_rec_score,matthews_corrcoef,pr_rec_score,matthews_corrcoef,pr_rec_score,matthews_corrcoef,pr_rec_score,matthews_corrcoef,pr_rec_score,matthews_corrcoef,pr_rec_score
activemq-5.8.0.csv,0.20614663012090795,0.2939835145265263,0.2706575565652415,0.3232619860210709,0.2889212721047015,0.4094435744643462,0.3087930869324722,0.31216903892929193,0.233423848977927,0.26627181327387195,0.2736144296089259,0.334370762469268,0.290179086109431,0.39545307455103734,0.26676644944208683,0.31857657875284306
groovy-1_6_BETA_1.csv,0.3297659604533001,0.4830321963580909,0.4228668839860631,0.4216736899334607,0.266214122940147,0.4180803331869161,0.3655023179799218,0.4226904741093053,0.4004534956962045,0.4736683506893769,0.4489730028336593,0.4700682261199394,0.2758293627623605,0.3936523203116515,0.47171179995348933,0.46068866474191256
activemq-5.3.0.csv,0.3124618226189962,0.4195144884308449,0.3709436553192863,0.4838386023694021,0.3388643902998459,0.4600710179454465,0.4002734317608177,0.4760742893492105,0.33405810579116463,0.4297268726869477,0.3822456006276677,0.4929500443708272,0.334245736273049,0.4552737267874455,0.31934114866826063,0.46596440089882984
wicket-1.3.0-incubating-beta-1.csv,0.22320838138183632,0.4325570275314009,0.2994480914377033,0.4157765568151581,0.31578435619277484,0.4648080845751811,0.3251232352677696,0.2791334820105669,0.2692190105408829,0.3836955332032165,0.3052996210128946,0.28363154036210825,0.3112508053895283,0.44946411901886296,0.30806280460413393,0.24967189893690037
jruby-1.1.csv,0.3373061007393645,0.5329414357724378,0.4118078328545937,0.5553002622177978,0.3841992492815109,0.58614722995414,0.4502439457759862,0.4736157840111401,0.36751996188134,0.5828338570937247,0.4136152844629744,0.5411073949860088,0.3778465844595213,0.6152104895272933,0.4444416053854397,0.5241457990234697
jruby-1.4.0.csv,0.3154662783017974,0.5380548544918721,0.4137859937559572,0.5959653620411784,0.42693253852595975,0.5997499448167135,0.4189144321604849,0.5539206171657681,0.34146940162612105,0.5628786919009202,0.3914582908954016,0.5981087668404769,0.4367970864974911,0.6096833850738961,0.42476554563840246,0.5792320494954523
lucene-2.3.0.csv,0.41433291383711096,0.6282737762388755,0.5180833920421667,0.6687459538557822,0.40063345975569015,0.565798225680301,0.5595595409310224,0.7146647445389596,0.5232018773037759,0.6953704638830694,0.5409203720886986,0.7190223224963566,0.40952985134517467,0.583556650235326,0.5665315701077485,0.7226638946287568
hbase-0.95.2.csv,0.16769915235633195,0.4426339604176841,0.2053966463589528,0.4747488784486375,0.3201969798407021,0.5118574904316766,0.24641548769066354,0.4551504044066814,0.20387572912299048,0.4263059915975307,0.22428142804062592,0.4810713496213552,0.30971157835759333,0.5128227072698136,0.20917024278041665,0.4697346249597653
lucene-3.0.0.csv,0.2478801687537092,0.421807563142482,0.3240487951271709,0.36758581043850297,0.30620512522030996,0.3266937523459095,0.27472328701518944,0.3161597440132491,0.2889344091595017,0.32423842534183145,0.2978878972327236,0.30512369624046315,0.30261771723121694,0.3021222060925179,0.2748186036907479,0.3246554828867497
