imb,ENN,ENN,ENN,ENN,ENN,ENN,ENN,ENN,SmoteEnc,SmoteEnc,SmoteEnc,SmoteEnc,SmoteEnc,SmoteEnc,SmoteEnc,SmoteEnc,IHThreshold,IHThreshold,IHThreshold,IHThreshold,IHThreshold,IHThreshold,IHThreshold,IHThreshold
clf,AdaNB,AdaNB,BagNB,BagNB,AdaDT,AdaDT,BagDT,BagDT,AdaNB,AdaNB,BagNB,BagNB,AdaDT,AdaDT,BagDT,BagDT,AdaNB,AdaNB,BagNB,BagNB,AdaDT,AdaDT,BagDT,BagDT
metric,matthews_corrcoef,pr_rec_score,matthews_corrcoef,pr_rec_score,matthews_corrcoef,pr_rec_score,matthews_corrcoef,pr_rec_score,matthews_corrcoef,pr_rec_score,matthews_corrcoef,pr_rec_score,matthews_corrcoef,pr_rec_score,matthews_corrcoef,pr_rec_score,matthews_corrcoef,pr_rec_score,matthews_corrcoef,pr_rec_score,matthews_corrcoef,pr_rec_score,matthews_corrcoef,pr_rec_score
activemq-5.8.0.csv,,,0.2919931270520563,0.37322446953805605,,,0.26824160611430103,0.3208110204865038,,,0.2864930601829691,0.39856697520918666,,,0.2447995813031695,0.28193115975226074,,,0.2694696397683085,0.4465145341980099,,,0.27848370313056037,0.3018402386682971
groovy-1_6_BETA_1.csv,,,0.23969594084192467,0.36458863689877685,,,0.4523634064791008,0.4508425570161327,,,0.2674449595317524,0.4109098974615469,,,0.44569891665810085,0.40711365940664557,,,0.2655528819372252,0.4025561189148349,,,0.2846214649768703,0.4294827491951064
activemq-5.3.0.csv,,,0.32473627503327496,0.45300489135240996,,,0.30998060670215744,0.4444138521145778,,,0.3305415985526304,0.4578615727736336,,,0.381805856260065,0.4530201202513113,,,0.3120294975717044,0.48136006170252593,,,0.340071201840702,0.4479014736471953
wicket-1.3.0-incubating-beta-1.csv,,,0.3174226929160543,0.42997997477050703,,,0.3134852595526431,0.30561588509590065,,,0.30829007770697026,0.4512972624206898,,,0.30282424961249865,0.28290229970520364,,,0.24709512322957786,0.5047315849602393,,,0.21131702243289197,0.3853304352124026
jruby-1.1.csv,,,0.37399203486753996,0.6287651973926928,,,0.4901845717478632,0.6325481278734207,,,0.39043116059617333,0.6076273942208419,,,0.42976971934231456,0.5578315322592131,,,0.33338473243422984,0.5694206714750673,,,0.32439154264969733,0.5611968232247042
jruby-1.4.0.csv,,,0.4436061421192867,0.6074168974345583,,,0.4113483983443393,0.5707115105030234,,,0.41737234332753725,0.6007286595256554,,,0.39519564992249834,0.5814320055379548,,,0.3430300635674779,0.597194655646787,,,0.2709455406249991,0.5662200785059137
lucene-2.3.0.csv,,,0.4184067759686105,0.6073174554805398,,,0.5500539965722985,0.7312776049799543,,,0.4648410872905829,0.624434548303755,,,0.5784824351597531,0.7278140266730141,,,0.39602553326460355,0.6397544249690341,,,0.4320886040385735,0.6911412234272649
hbase-0.95.2.csv,,,0.30515921629557663,0.5168941429468528,,,0.17148632994550683,0.437420372979476,,,0.3162155755592764,0.5292425143314985,,,0.23995462453923802,0.46736483362743797,,,0.3156695640409213,0.528747873538969,,,0.25651928878937086,0.4951136220444042
lucene-3.0.0.csv,,,0.3052658989806032,0.28819548931266653,,,0.14423820445571425,0.27391385342758434,,,0.30380366861938957,0.30164588608857484,,,0.29638142114473337,0.2895730019097641,,,0.2715465482377854,0.37226530243700273,,,0.32566699871910354,0.3448043464743402
camel-2.9.0.csv,,,0.2425398552911561,0.3383824846463178,,,0.23262563337564174,0.2038163937110838,,,0.22675273359260636,0.35342800222828796,,,0.22973554535028887,0.17686781788099912,,,0.21501528267312642,0.3826085991546461,,,0.272758633848326,0.21038005927655198
wicket-1.5.3.csv,,,0.21515222935128447,0.3033806805057774,,,0.07387728735611188,0.14264729834012105,,,0.20840888516532238,0.3269926533623471,,,0.08208392135849853,0.13843476432243965,,,0.21352064419432337,0.3731998468306214,,,0.21675525547701602,0.21609499315857056
lucene-3.1.csv,,,0.19247311688977906,0.2266179830039448,,,0.17571904061860932,0.1691902464987588,,,0.18855348657209187,0.26730207115669125,,,0.18768417128650441,0.12315438338844102,,,0.14471582385293097,0.32265304771954384,,,0.16647962247240827,0.225031322966668
groovy-1_6_BETA_2.csv,,,0.26255382481687434,0.33669428969994836,,,0.38635548464130676,0.37467000495527125,,,0.26002020727123215,0.3851117053393197,,,0.3743481136436148,0.395699529419671,,,0.1916715771573341,0.3902917427001287,,,0.2775983123125786,0.4067774231455036
activemq-5.2.0.csv,,,0.39131803210426097,0.5177163506777129,,,0.2776599074117068,0.4258816902252178,,,0.36559739200108055,0.5345686805921612,,,0.4040253469443151,0.47938781359471416,,,0.36092989420446486,0.5551678870846553,,,0.4123343084639425,0.4923048374777531
groovy-1_5_7.csv,,,0.25368816640910835,0.4763963294711173,,,0.3579086179014091,0.41347666527883753,,,0.22363386360637993,0.46654706624769116,,,0.3486209416276438,0.38721440846219635,,,0.17210126742120033,0.44779735866403686,,,0.22221686723265233,0.40153864882537216
hbase-0.95.0.csv,,,0.2708296731016241,0.47427013280611713,,,0.1705671424456507,0.39518062193749454,,,0.2694219162828094,0.48235145001496066,,,0.1927475106104249,0.3819928574382968,,,0.2780247328105088,0.46959022604722545,,,0.30834412531909716,0.4604618069905063
camel-2.11.0.csv,,,0.18676801299321585,0.23172446528789653,,,0.22819864361046963,0.23397839779491042,,,0.16894023592879323,0.24902236125212457,,,0.2758277003261346,0.25110066224149263,,,0.1553179800110393,0.290991012341136,,,0.2867410380801282,0.23162017875269392
