imb,UBag,UBag,UBag,UBag
clf,BagNB,BagNB,BagDT,BagDT
metric,matthews_corrcoef,pr_rec_score,matthews_corrcoef,pr_rec_score
activemq-5.8.0.csv,0.2838225908592912,0.37456880211942073,0.2583976175780678,0.28423549007213833
groovy-1_6_BETA_1.csv,0.2494139029557544,0.37400240867158646,0.37505963774996387,0.40597392238411
activemq-5.3.0.csv,0.3280358934793844,0.4560699195514023,0.3461798085665118,0.4325816651284772
wicket-1.3.0-incubating-beta-1.csv,0.32652882164535785,0.393655821310159,0.27852653845514774,0.29051404465716024
jruby-1.1.csv,0.38106757568434496,0.6505284199363531,0.43861084048355375,0.5603556586817662
jruby-1.4.0.csv,0.4495153459534877,0.6126003770935956,0.41098676656234795,0.567185484682527
lucene-2.3.0.csv,0.41662149224683576,0.6098354354923876,0.5141015606045027,0.7048656254944238
hbase-0.95.2.csv,0.31420246791844664,0.5176259954180367,0.19881587984530708,0.45373837765705793
lucene-3.0.0.csv,0.2872596769683623,0.30141664802089096,0.2878004247984534,0.2934588384215592
camel-2.9.0.csv,0.23178191619260086,0.324006169314268,0.22675171880124703,0.19860784598051429
wicket-1.5.3.csv,0.22071795908402722,0.2609916036377955,0.22479873450035376,0.1772967318797077
lucene-3.1.csv,0.18224821037972766,0.21477384317838824,0.18113624906836517,0.14165698496850626
groovy-1_6_BETA_2.csv,0.24159945706974878,0.2956850370917658,0.3789098850163465,0.3894068385676879
activemq-5.2.0.csv,0.37978090267375775,0.5308571648866112,0.3641812218034874,0.42307148580696463
groovy-1_5_7.csv,0.2541767712591713,0.45249293772390153,0.2339630661195265,0.36716633455371106
hbase-0.95.0.csv,0.25986861622583357,0.45493355580376854,0.21774874818182816,0.41213235374535556
camel-2.11.0.csv,0.17273283884669952,0.21973400238508276,0.22247938258729683,0.20420865195975554
jruby-1.7.0.preview1.csv,0.3059856690821216,0.3994814050807175,0.2966070171816467,0.28783800301056217
hive-0.10.0.csv,0.412680800404649,0.4472423893078594,0.35282818823120843,0.37213538982935124
camel-2.10.0.csv,0.2454067282235191,0.3293731449487958,0.2194115160872326,0.20199574708641133
derby-10.2.1.6.csv,0.434801355682084,0.6933911745126505,0.3695508447666329,0.651428834544406
jruby-1.5.0.csv,0.35626452502723527,0.520391111735867,0.32033145316628214,0.374030070610859
derby-10.3.1.4.csv,0.39594946057500213,0.6452954169740444,0.3917319118082835,0.6353517918256719
lucene-2.9.0.csv,0.3339740781972873,0.45221348789970744,0.34682836968586866,0.3973300784797288
hbase-0.94.0.csv,0.38943394518424196,0.5358641531122096,0.37550745877751135,0.5372298030504077
camel-1.4.0.csv,0.3128014250648887,0.48696415121510783,0.2874453275056852,0.4193817838811794
activemq-5.1.0.csv,0.3141535873757836,0.4228131958935927,0.2823681629221979,0.35686334650536017
activemq-5.0.0.csv,0.4355732757735331,0.5747570712421819,0.4386053844033989,0.566456064902856
derby-10.5.1.1.csv,0.39066711506149593,0.5108235705126638,0.36671410216362577,0.46242515539170836
wicket-1.3.0-beta2.csv,0.30565149782123335,0.38857688486585235,0.2621230370958546,0.2725921475515209
hive-0.12.0.csv,0.17148108837743326,0.18398580246776994,0.16016670189432736,0.18010228891093105
hive-0.9.0.csv,0.4636099977711294,0.6041938564164062,0.4544661590851419,0.5903839075881806
