,PN,ePN,NP,eNP,bug-ih,clean-ih
activemq-5.8.0.csv,100,41,97,156,0.6789624061801504,0.08341314760076464
groovy-1_6_BETA_1.csv,29,39,76,66,0.5227480323075303,0.11409847219393617
activemq-5.3.0.csv,169,109,53,113,0.6134994567964781,0.08041543546546735
wicket-1.3.0-incubating-beta-1.csv,44,122,231,153,0.5383289057643635,0.13599731044316674
jruby-1.1.csv,27,63,101,65,0.4260509244825854,0.15464771999308446
jruby-1.4.0.csv,83,78,103,108,0.5184028149553869,0.14506581987941863
lucene-2.3.0.csv,100,73,64,91,0.5340627033221157,0.15185403326309943
hbase-0.95.2.csv,423,372,54,105,0.6994168967273515,0.10220684440808761
lucene-3.0.0.csv,106,115,141,132,0.5526622781064386,0.1449735837464156
camel-2.9.0.csv,156,125,157,188,0.7622594243002903,0.052553310364679334
wicket-1.5.3.csv,89,77,77,89,0.7342822525643912,0.08508420770237111
lucene-3.1.csv,56,144,280,192,0.5328426122507965,0.09602966648044492
groovy-1_6_BETA_2.csv,29,28,56,57,0.5786136047889606,0.10059158238719512
activemq-5.2.0.csv,148,109,83,122,0.6427302452568678,0.09410515242376451
groovy-1_5_7.csv,5,21,59,43,0.5722830113392627,0.09122587520778128
hbase-0.95.0.csv,341,306,49,84,0.7121730847355662,0.09213896338230682
camel-2.11.0.csv,100,28,108,180,0.7603280037622714,0.05063394534689077
jruby-1.7.0.preview1.csv,42,72,118,88,0.5638105665306915,0.09726059700540954
hive-0.10.0.csv,160,148,36,48,0.6473617900070561,0.05668145412213554
camel-2.10.0.csv,169,148,250,271,0.7256759086269512,0.06037747216409568
derby-10.2.1.6.csv,525,393,44,176,0.6553348415584697,0.11770531509939455
jruby-1.5.0.csv,26,108,220,138,0.4693090460040306,0.15779769000399593
derby-10.3.1.4.csv,550,431,38,157,0.7092175259623242,0.08937187921907531
lucene-2.9.0.csv,152,147,157,162,0.4883428223752489,0.1493384319039854
hbase-0.94.0.csv,184,162,35,57,0.5644321720571711,0.0844584536344808
camel-1.4.0.csv,174,171,252,255,0.5832507631306209,0.17782457914983937
activemq-5.1.0.csv,89,61,74,102,0.6132831734391789,0.0943064976983058
activemq-5.0.0.csv,236,186,25,75,0.6725776671447464,0.06614945160745288
derby-10.5.1.1.csv,272,191,69,150,0.6157524385404929,0.0899239796732556
wicket-1.3.0-beta2.csv,75,150,250,175,0.5385876012898679,0.1349626022353417
hive-0.12.0.csv,199,187,32,44,0.7839585287610452,0.04572517130060759
hive-0.9.0.csv,242,201,12,53,0.6058564977879832,0.047706021018685596
