imb,Spyder,Spyder,Spyder,Spyder
clf,BagNB,BagNB,BagDT,BagDT
metric,matthews_corrcoef,pr_rec_score,matthews_corrcoef,pr_rec_score
activemq-5.8.0.csv,0.2621435501463167,0.4214142344097822,0.24569987771190566,0.27761276139403857
groovy-1_6_BETA_1.csv,0.3018940116339601,0.43280681107360797,0.38647505936028514,0.5152817346014779
activemq-5.3.0.csv,0.33270179601020344,0.46354157390508294,0.32752966542936346,0.40453430427215054
wicket-1.3.0-incubating-beta-1.csv,0.29324495958030405,0.4420571065951884,0.28298380906340376,0.3927672018650098
jruby-1.1.csv,0.4028153718397195,0.6106221679973874,0.4381959960712923,0.5952559339170144
jruby-1.4.0.csv,0.4334728290446737,0.6088022591581508,0.38143490312767087,0.5891705828750272
lucene-2.3.0.csv,0.4809951983828163,0.6423809385254202,0.460320519073521,0.6894856831833025
hbase-0.95.2.csv,0.3165250754531225,0.5299046684846281,0.2570846894128521,0.48434824738682825
lucene-3.0.0.csv,0.3089452474907681,0.3324808652646164,0.294932043906318,0.29507603118322573
camel-2.9.0.csv,0.24172547108438774,0.3750427292110592,0.23981316219923793,0.27655192071266904
wicket-1.5.3.csv,0.2178728507007346,0.3944916274829007,0.19597521859326578,0.21908048774892364
lucene-3.1.csv,0.1946640416169941,0.2789666814276486,0.1762091602547,0.22829037434599844
groovy-1_6_BETA_2.csv,0.28681734566303296,0.39615402526087634,0.3183915104836588,0.4272696678665264
activemq-5.2.0.csv,0.363801810800247,0.5416766999710827,0.3402603984560542,0.4322438051705861
groovy-1_5_7.csv,0.23923758721379512,0.4477206905935761,0.2662132356215974,0.4456347697326054
hbase-0.95.0.csv,0.2782071080656599,0.4794913232341438,0.2325229052730998,0.4405859351554325
camel-2.11.0.csv,0.16763566680727726,0.3095763962618303,0.25236112581062403,0.21788522171837815
jruby-1.7.0.preview1.csv,0.2900332171676155,0.43790182168696906,0.2836348247533255,0.32764522564083204
hive-0.10.0.csv,0.4114131527924053,0.500344996122379,0.3165943398242403,0.3714044406848251
camel-2.10.0.csv,0.21955322187665058,0.41482839161960083,0.16948108281571567,0.280427023347323
derby-10.2.1.6.csv,0.45346762461948165,0.6886643086534553,0.35625319470338057,0.6501791465258302
jruby-1.5.0.csv,0.33606619695201434,0.5304785922084467,0.3635572034756463,0.49962762840648045
derby-10.3.1.4.csv,0.4091274572973891,0.6479038732679017,0.3843339377900743,0.6307980548285069
lucene-2.9.0.csv,0.33019336824515216,0.4798453259034055,0.27952830161237807,0.4244189343634158
hbase-0.94.0.csv,0.4140570626635253,0.5634744963907837,0.41385633554705265,0.5425422276968882
camel-1.4.0.csv,0.3010848774311932,0.508576138680471,0.3333517777757745,0.4884103110332756
activemq-5.1.0.csv,0.30811316979819636,0.4444204384393034,0.3037198028929429,0.36194813671276893
activemq-5.0.0.csv,0.4364099396131034,0.5917456536354335,0.5124985336102996,0.6029701946935752
derby-10.5.1.1.csv,0.36951300994354563,0.5226381604248043,0.33923839775331405,0.4348068827500411
wicket-1.3.0-beta2.csv,0.30018873913455096,0.44378435474751,0.2667563028116932,0.3947335315287266
hive-0.12.0.csv,0.17623231478601276,0.2645824107915063,0.10774584459584287,0.14706600543699105
hive-0.9.0.csv,0.4365483154182253,0.5955801963551037,0.3851808075026763,0.5444506558261742
