imb,NCL,NCL,NCL,NCL,NCL,NCL,NCL,NCL,NCL,NCL,NCL,NCL
clf,dt,dt,lr,lr,nb,nb,svm,svm,knn,knn,rf,rf
metric,matthews_corrcoef,pr_rec_score,matthews_corrcoef,pr_rec_score,matthews_corrcoef,pr_rec_score,matthews_corrcoef,pr_rec_score,matthews_corrcoef,pr_rec_score,matthews_corrcoef,pr_rec_score
activemq-5.8.0.csv,0.20614663012090795,0.2939835145265263,0.2706575565652415,0.3232619860210709,0.2889212721047015,0.4094435744643462,0.3087930869324722,0.31216903892929193,0.233423848977927,0.26627181327387195,0.2736144296089259,0.334370762469268
groovy-1_6_BETA_1.csv,0.32976596045330014,0.48303219635809086,0.4228668839860631,0.4216736899334607,0.266214122940147,0.41808033318691606,0.3655023179799218,0.4226904741093053,0.40045349569620453,0.47366835068937685,0.4489730028336593,0.47006822611993937
activemq-5.3.0.csv,0.3124618226189962,0.41951448843084493,0.37094365531928625,0.48383860236940207,0.3388643902998459,0.4600710179454465,0.4002734317608177,0.47607428934921053,0.33405810579116463,0.42972687268694765,0.3822456006276677,0.49295004437082723
wicket-1.3.0-incubating-beta-1.csv,0.22320838138183632,0.43255702753140085,0.29944809143770335,0.4157765568151581,0.31578435619277484,0.46480808457518114,0.3251232352677696,0.2791334820105669,0.2692190105408829,0.3836955332032165,0.3052996210128946,0.28363154036210825
jruby-1.1.csv,0.33730610073936446,0.5329414357724378,0.4118078328545937,0.5553002622177978,0.38419924928151084,0.58614722995414,0.4502439457759862,0.4736157840111401,0.36751996188133995,0.5828338570937247,0.4136152844629744,0.5411073949860088
jruby-1.4.0.csv,0.3154662783017974,0.538054854491872,0.4137859937559572,0.5959653620411784,0.42693253852595975,0.5997499448167135,0.41891443216048485,0.5539206171657681,0.34146940162612105,0.5628786919009202,0.3914582908954016,0.5981087668404769
lucene-2.3.0.csv,0.41433291383711096,0.6282737762388755,0.5180833920421667,0.6687459538557822,0.40063345975569015,0.565798225680301,0.5595595409310224,0.7146647445389596,0.5232018773037759,0.6953704638830694,0.5409203720886986,0.7190223224963566
hbase-0.95.2.csv,0.16769915235633195,0.4426339604176841,0.20539664635895277,0.47474887844863745,0.3201969798407021,0.5118574904316766,0.24641548769066354,0.4551504044066814,0.20387572912299046,0.42630599159753074,0.22428142804062592,0.48107134962135517
lucene-3.0.0.csv,0.24788016875370922,0.421807563142482,0.32404879512717094,0.36758581043850297,0.30620512522031,0.32669375234590947,0.27472328701518944,0.3161597440132491,0.2889344091595017,0.32423842534183145,0.2978878972327236,0.30512369624046315
camel-2.9.0.csv,0.16673012370925636,0.17487409327397066,0.2611598385647804,0.2553435256272718,0.23711621915927159,0.36356620623151675,0.24128899944512594,0.2215664376151632,0.2892268557439954,0.24130097119491198,0.26699524668412555,0.23219421672551566
wicket-1.5.3.csv,0.1220959226326689,0.18729712574835006,0.1423271573484174,0.1959587833072131,0.22261136074288387,0.32667850461790676,0.16505381200339633,0.1855029155934674,0.16199048176258077,0.14977254417270772,0.13703573212833006,0.17539843746163492
lucene-3.1.csv,0.14855858869410593,0.29780324385464957,0.18640846119781204,0.23216777077303807,0.17645715978594406,0.2760561794597896,0.18496405483081663,0.16847581403015952,0.1733111977461887,0.19828456238148756,0.19099454546966715,0.14450195829138146
groovy-1_6_BETA_2.csv,0.2689475496814033,0.40687446972719876,0.30894171035949325,0.37788170218822414,0.23323201063760451,0.3724879933925563,0.34285486746460764,0.33257608638438496,0.3707588452314907,0.4510695651648995,0.363762179421917,0.42963015497048795
activemq-5.2.0.csv,0.3092938096402249,0.42727449302245823,0.42792718923706524,0.5206542140851698,0.4059187508666832,0.5696743022980822,0.44120805391209283,0.5339437954385299,0.3550479069928158,0.4269551377196211,0.36433132311875427,0.4602290478839113
groovy-1_5_7.csv,0.22463019297669395,0.38968667816833147,0.337126801493995,0.45924706867717363,0.23659574271463268,0.4422748521027769,0.3962963408896368,0.4326137363010685,0.35201206628725573,0.4649700459023633,0.35296202294136486,0.40967502801083666
hbase-0.95.0.csv,0.1283285555992036,0.3761065339447292,0.22656320705086713,0.45370603977771146,0.265035021816397,0.4510920716920346,0.235310439197287,0.39507527436652423,0.2000867091303354,0.3866492226028383,0.22746695820035853,0.44045720488033246
